Abaza,ABA,abq
Abkhazian,ABK,abk
Acholi,ACH,ach
Achi,ACR,acr
Adyghe,ADY,ady
Afrikaans,AFK,afr
Afar,AFR,aar
Agaw,AGW,ahg
Aiton,AIO,aio
Akan,AKA,"aka, fat, twi"
Batak Angkola,AKB,akb
Alsatian,ALS,gsw
Altai,ALT,"atv, alt"
Amharic,AMH,amh
Anglo-Saxon,ANG,ang
Phonetic transcription—Americanist conventions,APPH,
Arabic,ARA,ara
Aragonese,ARG,arg
Aari,ARI,aiw
Rakhine,ARK,"mhv, rmz, rki"
Assamese,ASM,asm
Asturian,AST,ast
Athapaskan languages,ATH,"aht, apa, apk, apj, apl, apm, apw, ath, bea, sek, bcr, caf, chp, clc, coq, crx, ctc, den, dgr, gce, gwi, haa, hoi, hup, ing, kkz, koy, ktw, kuu, mvb, nav, qwt, scs, srs, taa, tau, tcb, tce, tfn, tgx, tht, tol, ttm, tuu, txc, wlk, xup, xsl"
Avar,AVR,ava
Awadhi,AWA,awa
Aymara,AYM,aym
Torki,AZB,azb
Azerbaijani,AZE,aze
Badaga,BAD,bfq
Banda,BAD0,"bad, bbp, bfl, bjo, bpd, bqk, gox, kuw, liy, lna, lnl, mnh, nue, nuu, tor, yaj, zmz"
Baghelkhandi,BAG,bfy
Balkar,BAL,krc
Balinese,BAN,ban
Bavarian,BAR,bar
Baulé,BAU,bci
Batak Toba,BBC,bbc
Berber,BBR,"auj, ber, cnu, gha, gho, grr, jbe, jbn, kab, mzb, oua, rif, sds, shi, shy, siz, sjs, swn, taq, tez, thv, thz, tia, tjo, tmh, ttq, tzm, zen, zgh"
Bench,BCH,bcq
Bible Cree,BCR,
Bandjalang,BDY,bdy
Belarussian,BEL,bel
Bemba,BEM,bem
Bengali,BEN,ben
Haryanvi,BGC,bgc
Bagri,BGQ,bgq
Bulgarian,BGR,bul
Bhili,BHI,"bhi, bhb"
Bhojpuri,BHO,bho
Bikol,BIK,"bik, bhk, bcl, bto, cts, bln, fbl, lbl, rbl, ubl"
Bilen,BIL,byn
Bislama,BIS,bis
Kanauji,BJJ,bjj
Blackfoot,BKF,bla
Baluchi,BLI,bal
Pa’o Karen,BLK,blk
Balante,BLN,"bjt, ble"
Balti,BLT,bft
Bambara (Bamanankan),BMB,bam
Bamileke,BML,"bai, bbj, bko, byv, fmp, jgo, nla, nnh, nnz, nwe, xmg, ybb"
Bosnian,BOS,bos
Bishnupriya Manipuri,BPY,bpy
Breton,BRE,bre
Brahui,BRH,brh
Braj Bhasha,BRI,bra
Burmese,BRM,mya
Bodo,BRX,brx
Bashkir,BSH,bak
Burushaski,BSK,bsk
Batak Dairi (Pakpak),BTD,btd
